Franchise,Year,Count,Rank,WC,WC_Rank
Harry Potter,1998,0,0,0,0
Harry Potter,1999,45,4,178563,4
Harry Potter,2000,4072,1,19415946,1
Harry Potter,2001,10784,1,70231039,1
Harry Potter,2002,21061,1,192106598,1
Harry Potter,2003,35627,1,320026419,1
Harry Potter,2004,41215,1,368674214,1
Harry Potter,2005,43169,1,380011584,1
Harry Potter,2006,40587,1,335740975,1
Harry Potter,2007,43773,1,390700250,1
Harry Potter,2008,39043,2,379236522,2
Harry Potter,2009,41993,2,423686437,2
Harry Potter,2010,46872,1,442154508,2
Harry Potter,2011,63389,1,577614629,1
Harry Potter,2012,59336,1,536973712,1
Harry Potter,2013,53041,1,392251268,1
Harry Potter,2014,76091,1,676320309,1
Harry Potter,2015,36646,1,420173569,1
Harry Potter,2016,27414,1,377739710,1
Harry Potter,2017,9826,1,142506597,1
Twilight,1998,0,0,0,0
Twilight,1999,0,0,0,0
Twilight,2000,0,0,0,0
Twilight,2001,0,0,0,0
Twilight,2002,0,0,0,0
Twilight,2003,1,11,468,11
Twilight,2004,2,11,12507,11
Twilight,2005,1,12,1026,12
Twilight,2006,1226,9,11792373,10
Twilight,2007,7121,3,58392327,3
Twilight,2008,29204,3,295612095,3
Twilight,2009,49858,1,677513309,1
Twilight,2010,37409,2,540858174,1
Twilight,2011,23751,3,337731047,2
Twilight,2012,19647,3,273459670,3
Twilight,2013,16347,7,180491136,3
Twilight,2014,16585,8,217556976,5
Twilight,2015,6468,8,104693621,6
Twilight,2016,4147,9,72394151,6
Twilight,2017,1281,10,23536199,7
Star Trek Universe,1998,16,1,76270,1
Star Trek Universe,1999,146,2,1684782,2
Star Trek Universe,2000,490,5,2545521,5
Star Trek Universe,2001,1250,5,8569761,5
Star Trek Universe,2002,1953,5,14027246,6
Star Trek Universe,2003,1774,4,11548446,6
Star Trek Universe,2004,1583,5,14105166,6
Star Trek Universe,2005,1530,5,13335747,7
Star Trek Universe,2006,1261,8,12984109,9
Star Trek Universe,2007,1256,9,13114460,9
Star Trek Universe,2008,1599,10,15815912,9
Star Trek Universe,2009,5414,5,49706203,6
Star Trek Universe,2010,4996,7,48293349,6
Star Trek Universe,2011,3282,8,29456204,9
Star Trek Universe,2012,3296,12,33154724,12
Star Trek Universe,2013,5908,10,50632503,10
Star Trek Universe,2014,6147,12,59436404,12
Star Trek Universe,2015,2366,12,27005889,12
Star Trek Universe,2016,2260,12,30048866,11
Star Trek Universe,2017,925,12,12256552,12
Star Wars Universe,1998,1,2,907,2
Star Wars Universe,1999,230,1,1699583,1
Star Wars Universe,2000,1085,4,6373523,4
Star Wars Universe,2001,1437,4,12028808,4
Star Wars Universe,2002,2512,4,22717285,4
Star Wars Universe,2003,1472,6,15250874,4
Star Wars Universe,2004,1500,6,17385912,5
Star Wars Universe,2005,4141,4,40721332,4
Star Wars Universe,2006,3185,5,32695180,4
Star Wars Universe,2007,2283,7,26331702,6
Star Wars Universe,2008,2486,7,27876432,7
Star Wars Universe,2009,2971,7,32207858,7
Star Wars Universe,2010,3197,8,36774079,8
Star Wars Universe,2011,3186,9,40534670,7
Star Wars Universe,2012,4059,10,44111312,10
Star Wars Universe,2013,4461,12,40412832,11
Star Wars Universe,2014,6919,11,81599411,10
Star Wars Universe,2015,5283,10,71219324,9
Star Wars Universe,2016,7819,4,103425328,4
Star Wars Universe,2017,2420,3,34653244,4
Marvel Universe,1998,0,0,0,0
Marvel Universe,1999,2,7,4749,7
Marvel Universe,2000,25,8,106068,7
Marvel Universe,2001,58,8,280102,9
Marvel Universe,2002,141,8,1146198,8
Marvel Universe,2003,126,10,989033,10
Marvel Universe,2004,118,9,1827942,9
Marvel Universe,2005,121,11,1137737,11
Marvel Universe,2006,170,11,1806770,11
Marvel Universe,2007,271,11,4338957,11
Marvel Universe,2008,877,11,9386671,11
Marvel Universe,2009,707,12,5675748,12
Marvel Universe,2010,1314,13,9352291,13
Marvel Universe,2011,2181,12,20163186,13
Marvel Universe,2012,18257,4,176033889,4
Marvel Universe,2013,16789,6,132234830,5
Marvel Universe,2014,28072,5,267084016,3
Marvel Universe,2015,12160,3,147704719,3
Marvel Universe,2016,7849,3,101540853,5
Marvel Universe,2017,1862,7,24692440,5
DC Universe,1998,0,0,0,0
DC Universe,1999,35,5,175082,5
DC Universe,2000,162,6,1090182,6
DC Universe,2001,477,6,2973574,7
DC Universe,2002,535,7,4715185,7
DC Universe,2003,493,8,5086918,8
DC Universe,2004,443,8,4005403,8
DC Universe,2005,721,8,6912737,8
DC Universe,2006,1094,10,14261007,8
DC Universe,2007,1095,10,8940463,10
DC Universe,2008,2791,6,31548647,6
DC Universe,2009,2924,8,29221163,8
DC Universe,2010,2499,10,22622691,11
DC Universe,2011,2887,10,26372628,10
DC Universe,2012,5023,9,45315338,9
DC Universe,2013,5272,11,34657590,12
DC Universe,2014,7233,10,64001771,11
DC Universe,2015,4840,11,48892183,10
DC Universe,2016,4481,8,50374804,9
DC Universe,2017,1608,9,15762528,9
Middle Earth Total,1998,0,0,0,0
Middle Earth Total,1999,0,0,0,0
Middle Earth Total,2000,31,7,67177,8
Middle Earth Total,2001,361,7,3256576,6
Middle Earth Total,2002,6856,2,59099079,2
Middle Earth Total,2003,10128,2,87547140,2
Middle Earth Total,2004,8618,2,70271148,2
Middle Earth Total,2005,4612,3,42891145,3
Middle Earth Total,2006,3308,4,31404714,5
Middle Earth Total,2007,2378,6,16221576,8
Middle Earth Total,2008,1983,8,15182324,10
Middle Earth Total,2009,2131,9,22445886,10
Middle Earth Total,2010,2329,11,24912606,10
Middle Earth Total,2011,2359,11,26328931,11
Middle Earth Total,2012,3471,11,34743713,11
Middle Earth Total,2013,8814,9,78883377,9
Middle Earth Total,2014,13968,9,158094249,8
Middle Earth Total,2015,6715,7,90638648,8
Middle Earth Total,2016,2546,11,39412946,10
Middle Earth Total,2017,955,11,12984592,10
Supernatural,1998,0,0,0,0
Supernatural,1999,0,0,0,0
Supernatural,2000,0,0,0,0
Supernatural,2001,1,11,1073,11
Supernatural,2002,0,0,0,0
Supernatural,2003,0,0,0,0
Supernatural,2004,0,0,0,0
Supernatural,2005,373,9,3279502,9
Supernatural,2006,4195,3,39868624,3
Supernatural,2007,5972,4,57601261,4
Supernatural,2008,6666,4,56614116,4
Supernatural,2009,10509,4,73929819,4
Supernatural,2010,11742,4,84734486,4
Supernatural,2011,12290,4,92552362,5
Supernatural,2012,15141,6,111013355,6
Supernatural,2013,20833,3,133580239,4
Supernatural,2014,28775,4,230749883,4
Supernatural,2015,11195,5,107519911,5
Supernatural,2016,6570,6,70574025,7
Supernatural,2017,2215,5,24386797,6
Pokémon,1998,0,0,0,0
Pokémon,1999,143,3,898675,3
Pokémon,2000,1540,3,7881775,3
Pokémon,2001,2383,3,17879868,3
Pokémon,2002,1943,6,15701383,5
Pokémon,2003,1512,5,13435875,5
Pokémon,2004,1273,7,13631355,7
Pokémon,2005,1206,7,14420715,6
Pokémon,2006,1651,7,20174806,6
Pokémon,2007,2762,5,32483970,5
Pokémon,2008,4033,5,44602882,5
Pokémon,2009,4999,6,54632770,5
Pokémon,2010,7497,5,78834794,5
Pokémon,2011,8899,6,100560271,4
Pokémon,2012,11292,8,113614075,5
Pokémon,2013,14918,8,103857213,7
Pokémon,2014,23185,7,214031713,6
Pokémon,2015,9426,6,132896269,4
Pokémon,2016,6657,5,106278257,3
Pokémon,2017,2321,4,36927648,3
Digimon,1998,0,0,0,0
Digimon,1999,4,6,7013,6
Digimon,2000,3549,2,13732709,2
Digimon,2001,6747,2,38002707,2
Digimon,2002,4199,3,37365621,3
Digimon,2003,2753,3,28968944,3
Digimon,2004,1857,4,20041796,4
Digimon,2005,1527,6,19885813,5
Digimon,2006,1654,6,17485279,7
Digimon,2007,1744,8,21465827,7
Digimon,2008,1623,9,18072148,8
Digimon,2009,1668,11,25079394,9
Digimon,2010,1831,12,25817911,9
Digimon,2011,1717,13,24015244,12
Digimon,2012,1832,13,25645731,13
Digimon,2013,2262,13,22217381,13
Digimon,2014,3878,13,42096127,13
Digimon,2015,1745,13,24480373,13
Digimon,2016,1197,13,13464016,13
Digimon,2017,359,13,5145972,13
Sherlock Holmes,1998,0,0,0,0
Sherlock Holmes,1999,0,0,0,0
Sherlock Holmes,2000,1,9,539,9
Sherlock Holmes,2001,51,9,394491,8
Sherlock Holmes,2002,74,9,529289,9
Sherlock Holmes,2003,140,9,1130678,9
Sherlock Holmes,2004,88,10,1319420,10
Sherlock Holmes,2005,122,10,1569992,10
Sherlock Holmes,2006,109,12,644982,12
Sherlock Holmes,2007,151,12,1065557,12
Sherlock Holmes,2008,477,13,4289897,13
Sherlock Holmes,2009,501,13,3350817,13
Sherlock Holmes,2010,2957,9,18394968,12
Sherlock Holmes,2011,5336,7,32854475,8
Sherlock Holmes,2012,17739,5,105758936,7
Sherlock Holmes,2013,17429,5,97168451,8
Sherlock Holmes,2014,24856,6,153649718,9
Sherlock Holmes,2015,5418,9,39818478,11
Sherlock Holmes,2016,2922,10,22950806,12
Sherlock Holmes,2017,1722,8,12262591,11
Percy Jackson and the Olympians,1998,0,0,0,0
Percy Jackson and the Olympians,1999,0,0,0,0
Percy Jackson and the Olympians,2000,0,0,0,0
Percy Jackson and the Olympians,2001,0,0,0,0
Percy Jackson and the Olympians,2002,0,0,0,0
Percy Jackson and the Olympians,2003,0,0,0,0
Percy Jackson and the Olympians,2004,0,0,0,0
Percy Jackson and the Olympians,2005,0,0,0,0
Percy Jackson and the Olympians,2006,19,13,240980,13
Percy Jackson and the Olympians,2007,149,13,775722,13
Percy Jackson and the Olympians,2008,767,12,4527752,12
Percy Jackson and the Olympians,2009,1878,10,11226116,11
Percy Jackson and the Olympians,2010,6081,6,43348861,7
Percy Jackson and the Olympians,2011,9006,5,61523376,6
Percy Jackson and the Olympians,2012,13404,7,96757040,8
Percy Jackson and the Olympians,2013,19132,4,104439448,6
Percy Jackson and the Olympians,2014,29184,3,194952255,7
Percy Jackson and the Olympians,2015,11413,4,97230131,7
Percy Jackson and the Olympians,2016,6232,7,56018918,8
Percy Jackson and the Olympians,2017,2104,6,22573346,8
Naruto,1998,0,0,0,0
Naruto,1999,0,0,0,0
Naruto,2000,0,0,0,0
Naruto,2001,3,10,4340,10
Naruto,2002,46,10,221109,10
Naruto,2003,1115,7,9061136,7
Naruto,2004,4695,3,45487889,3
Naruto,2005,8990,2,79357645,2
Naruto,2006,24079,2,210627373,2
Naruto,2007,39392,2,354623945,2
Naruto,2008,43693,1,386887057,1
Naruto,2009,36367,3,344677785,3
Naruto,2010,32671,3,330772890,3
Naruto,2011,28866,2,331111236,3
Naruto,2012,28668,2,316125722,2
Naruto,2013,31088,2,271932745,2
Naruto,2014,44303,2,512320516,2
Naruto,2015,18851,2,292004985,2
Naruto,2016,12502,2,217855096,2
Naruto,2017,4471,2,80672150,2
