Franchise,Year,Count,Rank,WC,WC_Rank
Harry Potter,1998,0,0,0,0
Harry Potter,1999,45,4,178563,4
Harry Potter,2000,4072,1,19415946,1
Harry Potter,2001,10784,1,70231039,1
Harry Potter,2002,21061,1,192106598,1
Harry Potter,2003,35627,1,320026419,1
Harry Potter,2004,41215,1,368674214,1
Harry Potter,2005,43169,1,380011584,1
Harry Potter,2006,40587,1,335740975,1
Harry Potter,2007,43773,1,390700250,1
Harry Potter,2008,39043,1,379236522,1
Harry Potter,2009,41993,2,423686437,2
Harry Potter,2010,46872,1,442154508,2
Harry Potter,2011,63389,1,577614629,1
Harry Potter,2012,59336,1,536973712,1
Harry Potter,2013,53041,1,392251268,1
Harry Potter,2014,76091,1,676320309,1
Harry Potter,2015,36646,1,420173569,1
Harry Potter,2016,27414,1,377739710,1
Harry Potter,2017,9826,1,142506597,1
Twilight,1998,0,0,0,0
Twilight,1999,0,0,0,0
Twilight,2000,0,0,0,0
Twilight,2001,0,0,0,0
Twilight,2002,0,0,0,0
Twilight,2003,1,9,468,9
Twilight,2004,2,9,12507,9
Twilight,2005,1,9,1026,10
Twilight,2006,1226,7,11792373,8
Twilight,2007,7121,2,58392327,2
Twilight,2008,29204,2,295612095,2
Twilight,2009,49858,1,677513309,1
Twilight,2010,37409,2,540858174,1
Twilight,2011,23751,2,337731047,2
Twilight,2012,19647,2,273459670,2
Twilight,2013,16347,3,180491136,2
Twilight,2014,16585,4,217556976,3
Twilight,2015,6468,5,104693621,4
Twilight,2016,4147,6,72394151,5
Twilight,2017,1281,6,23536199,5
Star Trek Universe,1998,16,1,76270,1
Star Trek Universe,1999,146,2,1684782,2
Star Trek Universe,2000,490,4,2545521,4
Star Trek Universe,2001,1250,4,8569761,4
Star Trek Universe,2002,1953,5,14027246,6
Star Trek Universe,2003,1774,4,11548446,6
Star Trek Universe,2004,1583,4,14105166,5
Star Trek Universe,2005,1530,5,13335747,6
Star Trek Universe,2006,1261,6,12984109,7
Star Trek Universe,2007,1256,7,13114460,7
Star Trek Universe,2008,1599,8,15815912,6
Star Trek Universe,2009,5414,3,49706203,4
Star Trek Universe,2010,4996,4,48293349,4
Star Trek Universe,2011,3282,4,29456204,5
Star Trek Universe,2012,3296,8,33154724,8
Star Trek Universe,2013,5908,6,50632503,6
Star Trek Universe,2014,6147,9,59436404,10
Star Trek Universe,2015,2366,10,27005889,10
Star Trek Universe,2016,2260,8,30048866,8
Star Trek Universe,2017,925,8,12256552,8
Star Wars Universe,1998,1,2,907,2
Star Wars Universe,1999,230,1,1699583,1
Star Wars Universe,2000,1085,3,6373523,3
Star Wars Universe,2001,1437,3,12028808,3
Star Wars Universe,2002,2512,4,22717285,4
Star Wars Universe,2003,1472,6,15250874,4
Star Wars Universe,2004,1500,5,17385912,4
Star Wars Universe,2005,4141,4,40721332,3
Star Wars Universe,2006,3185,3,32695180,2
Star Wars Universe,2007,2283,5,26331702,4
Star Wars Universe,2008,2486,5,27876432,5
Star Wars Universe,2009,2971,5,32207858,5
Star Wars Universe,2010,3197,5,36774079,5
Star Wars Universe,2011,3186,5,40534670,4
Star Wars Universe,2012,4059,6,44111312,6
Star Wars Universe,2013,4461,8,40412832,8
Star Wars Universe,2014,6919,8,81599411,7
Star Wars Universe,2015,5283,6,71219324,6
Star Wars Universe,2016,7819,3,103425328,3
Star Wars Universe,2017,2420,2,34653244,3
Marvel Universe,1998,0,0,0,0
Marvel Universe,1999,2,6,4749,6
Marvel Universe,2000,25,7,106068,6
Marvel Universe,2001,58,8,280102,8
Marvel Universe,2002,141,8,1146198,8
Marvel Universe,2003,126,8,989033,8
Marvel Universe,2004,118,8,1827942,8
Marvel Universe,2005,121,8,1137737,8
Marvel Universe,2006,170,9,1806770,9
Marvel Universe,2007,271,9,4338957,9
Marvel Universe,2008,877,9,9386671,9
Marvel Universe,2009,707,9,5675748,9
Marvel Universe,2010,1314,9,9352291,9
Marvel Universe,2011,2181,8,20163186,9
Marvel Universe,2012,18257,3,176033889,3
Marvel Universe,2013,16789,2,132234830,3
Marvel Universe,2014,28072,2,267084016,2
Marvel Universe,2015,12160,2,147704719,2
Marvel Universe,2016,7849,2,101540853,4
Marvel Universe,2017,1862,4,24692440,4
DC Universe,1998,0,0,0,0
DC Universe,1999,35,5,175082,5
DC Universe,2000,162,5,1090182,5
DC Universe,2001,477,5,2973574,7
DC Universe,2002,535,7,4715185,7
DC Universe,2003,493,7,5086918,7
DC Universe,2004,443,7,4005403,7
DC Universe,2005,721,7,6912737,7
DC Universe,2006,1094,8,14261007,6
DC Universe,2007,1095,8,8940463,8
DC Universe,2008,2791,4,31548647,4
DC Universe,2009,2924,6,29221163,6
DC Universe,2010,2499,6,22622691,8
DC Universe,2011,2887,6,26372628,6
DC Universe,2012,5023,5,45315338,5
DC Universe,2013,5272,7,34657590,9
DC Universe,2014,7233,7,64001771,8
DC Universe,2015,4840,7,48892183,8
DC Universe,2016,4481,5,50374804,6
DC Universe,2017,1608,5,15762528,6
Middle Earth Total,1998,0,0,0,0
Middle Earth Total,1999,0,0,0,0
Middle Earth Total,2000,31,6,67177,7
Middle Earth Total,2001,361,6,3256576,5
Middle Earth Total,2002,6856,2,59099079,2
Middle Earth Total,2003,10128,2,87547140,2
Middle Earth Total,2004,8618,2,70271148,2
Middle Earth Total,2005,4612,2,42891145,2
Middle Earth Total,2006,3308,2,31404714,3
Middle Earth Total,2007,2378,4,16221576,5
Middle Earth Total,2008,1983,6,15182324,7
Middle Earth Total,2009,2131,7,22445886,7
Middle Earth Total,2010,2329,7,24912606,6
Middle Earth Total,2011,2359,7,26328931,7
Middle Earth Total,2012,3471,7,34743713,7
Middle Earth Total,2013,8814,5,78883377,5
Middle Earth Total,2014,13968,5,158094249,5
Middle Earth Total,2015,6715,4,90638648,5
Middle Earth Total,2016,2546,7,39412946,7
Middle Earth Total,2017,955,7,12984592,7
The Lord of the Rings,1998,0,0,0,0
The Lord of the Rings,1999,0,0,0,0
The Lord of the Rings,2000,20,8,53945,8
The Lord of the Rings,2001,342,7,3195252,6
The Lord of the Rings,2002,6562,3,56722626,3
The Lord of the Rings,2003,9567,3,85053697,3
The Lord of the Rings,2004,8154,3,67826100,3
The Lord of the Rings,2005,4345,3,40460091,4
The Lord of the Rings,2006,3093,4,30182460,4
The Lord of the Rings,2007,2154,6,15231598,6
The Lord of the Rings,2008,1797,7,14271848,8
The Lord of the Rings,2009,1894,8,21008010,8
The Lord of the Rings,2010,2068,8,23591194,7
The Lord of the Rings,2011,2074,9,24614140,8
The Lord of the Rings,2012,2635,9,27903160,9
The Lord of the Rings,2013,3940,10,33765169,10
The Lord of the Rings,2014,5778,10,61282150,9
The Lord of the Rings,2015,2643,9,34575021,9
The Lord of the Rings,2016,1387,9,18434601,10
The Lord of the Rings,2017,527,9,7979113,9
The Hobbit,1998,0,0,0,0
The Hobbit,1999,0,0,0,0
The Hobbit,2000,0,0,0,0
The Hobbit,2001,0,0,0,0
The Hobbit,2002,1,9,19539,9
The Hobbit,2003,0,0,0,0
The Hobbit,2004,0,0,0,0
The Hobbit,2005,1,10,3530,9
The Hobbit,2006,2,10,49467,10
The Hobbit,2007,2,10,1848,10
The Hobbit,2008,6,10,33049,10
The Hobbit,2009,14,10,36083,10
The Hobbit,2010,17,10,79410,10
The Hobbit,2011,23,10,215267,10
The Hobbit,2012,370,10,4697217,10
The Hobbit,2013,4282,9,44643231,7
The Hobbit,2014,7410,6,92003823,6
The Hobbit,2015,3613,8,53891427,7
The Hobbit,2016,917,10,18589591,9
The Hobbit,2017,278,10,4427689,10
Pokémon,1998,0,0,0,0
Pokémon,1999,143,3,898675,3
Pokémon,2000,1540,2,7881775,2
Pokémon,2001,2383,2,17879868,2
Pokémon,2002,1943,6,15701383,5
Pokémon,2003,1512,5,13435875,5
Pokémon,2004,1273,6,13631355,6
Pokémon,2005,1206,6,14420715,5
Pokémon,2006,1651,5,20174806,5
Pokémon,2007,2762,3,32483970,3
Pokémon,2008,4033,3,44602882,3
Pokémon,2009,4999,4,54632770,3
Pokémon,2010,7497,3,78834794,3
Pokémon,2011,8899,3,100560271,3
Pokémon,2012,11292,4,113614075,4
Pokémon,2013,14918,4,103857213,4
Pokémon,2014,23185,3,214031713,4
Pokémon,2015,9426,3,132896269,3
Pokémon,2016,6657,4,106278257,2
Pokémon,2017,2321,3,36927648,2
